id,x1,x2
1,-3.908,-2.518
1,-1.821,-0.408
1,-2.398,-1.251
1,-2.364,0.414
1,-3.696,-3.687
1,-1.515,-1.003
1,-2.613,-1.311
1,0.716,-0.003
1,-2.067,-0.633
1,-2.081,-0.340
1,-1.896,-0.666
1,-3.726,-1.974
1,-0.658,-0.997
1,-2.731,-1.186
1,-1.236,0.254
1,-2.726,-1.290
1,-2.544,-2.139
1,-0.136,-1.553
1,-4.045,-2.733
1,-1.568,0.372
1,-1.546,-1.749
1,0.078,0.188
1,-1.757,-0.916
1,-2.563,-1.582
1,-2.279,-0.755
1,-2.997,-1.363
1,-2.791,-1.228
1,-1.586,-1.887
1,-2.760,-1.154
1,-1.037,-0.665
1,-2.914,-0.985
1,-2.355,-0.824
1,-3.519,-2.193
1,-2.953,-1.959
1,-2.000,-1.793
1,-1.260,-1.523
1,-0.135,-0.202
1,-0.321,-0.039
1,-2.258,-0.876
1,-2.046,-0.104
1,-1.110,0.817
1,-3.325,-0.910
1,-2.070,-1.054
1,-2.128,-1.229
1,-3.444,0.040
1,-2.847,-1.339
1,-2.631,0.378
1,0.201,-0.036
1,-3.613,0.052
1,-3.533,-0.383
2,1.205,2.484
2,1.032,2.425
2,2.726,2.744
2,1.522,2.886
2,2.722,2.866
2,2.679,3.964
2,3.685,5.379
2,4.157,4.386
2,2.670,4.134
2,2.570,4.036
2,3.073,2.882
2,4.251,4.332
2,3.109,3.959
2,1.917,2.731
2,0.730,2.034
2,3.643,4.313
2,1.048,2.720
2,2.931,2.868
2,2.938,2.072
2,2.032,3.525
2,2.334,2.717
2,2.820,3.829
2,1.706,1.659
2,1.954,2.855
2,2.621,3.036
2,2.337,2.461
2,2.574,3.251
2,1.218,1.761
2,1.708,3.265
2,2.860,3.585
2,2.676,4.108
2,2.454,3.052
2,2.235,3.278
2,3.517,2.664
2,1.007,3.041
2,3.213,2.491
2,3.541,2.259
2,5.187,4.521
2,3.080,4.333
2,3.601,5.318
2,3.230,2.433
2,2.488,2.313
2,0.572,1.111
2,2.406,2.874
2,1.046,-0.003
2,4.059,3.826
2,2.341,3.872
2,3.919,3.879
2,2.255,2.497
2,2.118,4.157
3,0.563,-2.293
3,-1.009,-1.868
3,0.112,-0.570
3,1.415,-0.100
3,0.319,-1.120
3,1.012,0.108
3,0.606,-0.645
3,0.332,-0.565
3,3.226,-0.755
3,-0.589,-2.146
3,1.208,-1.411
3,-0.690,-3.236
3,0.343,-1.338
3,0.804,-0.324
3,1.046,-0.413
3,0.860,-0.703
3,0.851,-1.560
3,-1.627,-2.142
3,-0.248,-2.175
3,0.631,-0.929
3,-0.864,-2.382
3,1.256,-0.831
3,0.466,-0.527
3,1.642,-0.764
3,-0.429,-1.571
3,0.699,-2.585
3,0.739,-2.000
3,1.657,-2.188
3,0.629,-0.435
3,1.927,-1.346
3,0.070,-0.604
3,2.384,-1.281
3,0.517,-1.042
3,-0.411,-0.492
3,0.315,-1.508
3,0.638,-2.037
3,-0.167,-1.892
3,1.225,-1.461
3,0.213,-0.090
3,1.836,-1.875
3,-0.436,-1.405
3,0.179,-2.896
3,2.068,-0.494
3,1.777,-0.928
3,1.074,0.165
3,-0.330,-2.447
3,0.171,-0.524
3,1.787,-0.907
3,2.065,-0.620
3,0.771,-1.684
4,-3.158,-6.187
4,-4.847,-5.605
4,-3.691,-6.112
4,-2.668,-5.376
4,-2.704,-4.977
4,-4.460,-6.339
4,-1.837,-3.861
4,-3.069,-6.666
4,-3.629,-7.289
4,-3.153,-5.124
4,-2.921,-5.285
4,-3.704,-6.350
4,-2.905,-5.544
4,-3.693,-5.935
4,-2.101,-4.553
4,-4.308,-4.095
4,-4.998,-6.698
4,-2.919,-5.623
4,-3.250,-5.319
4,-3.673,-5.755
4,-3.550,-6.323
4,-4.240,-4.959
4,-3.632,-6.114
4,-4.251,-5.790
4,-5.618,-7.921
4,-2.994,-4.463
4,-3.269,-5.313
4,-3.550,-5.345
4,-2.637,-5.547
4,-3.992,-4.681
4,-2.340,-4.564
4,-3.887,-4.190
4,-3.635,-6.607
4,-3.236,-7.176
4,-4.398,-7.596
4,-3.129,-6.107
4,-2.227,-7.394
4,-3.576,-4.672
4,-3.587,-5.702
4,-5.072,-7.042
4,-1.966,-5.383
4,-3.211,-5.155
4,-3.615,-6.195
4,-3.861,-5.621
4,-4.009,-5.987
4,-3.619,-6.398
4,-4.164,-6.135
4,-4.765,-5.961
4,-2.820,-4.980
4,-2.270,-5.804
5,0.205,2.622
5,-0.086,1.852
5,-0.054,2.225
5,0.513,3.995
5,0.716,3.116
5,0.839,3.043
5,0.471,3.098
5,1.086,3.399
5,-0.931,2.113
5,0.128,4.277
5,-0.950,2.757
5,1.332,2.785
5,0.717,2.988
5,1.128,4.129
5,0.844,3.433
5,0.396,3.071
5,-0.855,1.908
