id,x1,x2
1,-4.109,1.280
1,-3.309,2.397
1,-2.808,2.568
1,-2.776,1.765
1,-4.598,-0.221
1,-4.641,1.083
1,-3.212,0.088
1,-3.912,1.464
1,-2.343,2.932
1,-2.699,1.343
1,-2.730,1.465
1,-2.332,1.804
1,-2.942,2.110
1,-4.626,1.420
1,-3.223,1.936
1,-2.784,2.093
1,-2.329,2.755
1,-3.897,2.196
1,-3.086,0.808
1,-2.189,2.095
1,-5.272,-0.704
1,-3.775,0.890
1,-3.670,1.662
1,-4.250,0.399
1,-1.700,1.189
1,-3.097,2.819
1,-3.432,0.597
1,-2.377,2.046
1,-4.195,1.464
1,-2.724,1.445
1,-3.220,0.080
1,-3.699,2.502
1,-3.692,0.753
1,-3.184,1.321
1,-3.780,1.372
1,-3.183,0.469
1,-4.267,0.169
1,-3.951,1.847
1,-2.275,4.091
1,-2.821,1.957
1,-4.071,0.446
1,-3.459,2.470
1,-3.800,1.639
1,-2.935,2.016
1,-5.677,0.541
1,-2.592,0.818
1,-4.781,0.425
1,-3.698,1.075
1,-5.151,0.738
1,-2.070,2.852
2,0.472,-0.368
2,0.523,0.717
2,1.371,0.314
2,0.672,-0.097
2,-0.153,-1.205
2,1.146,-2.352
2,1.198,-0.070
2,-0.090,-0.343
2,-1.269,-1.724
2,0.270,0.905
2,0.828,-0.271
2,-0.827,-0.501
2,-0.085,-0.507
2,0.520,0.231
2,1.123,-2.209
2,0.365,-1.112
2,0.296,-0.491
2,0.893,1.168
2,0.447,-0.016
2,0.419,-0.878
2,0.610,-0.431
2,0.910,0.824
2,0.160,-0.686
2,2.035,0.629
2,0.585,-0.502
2,-0.315,-1.055
2,1.420,1.490
2,0.287,-0.129
2,-0.096,0.028
2,0.085,-0.741
2,1.149,0.466
2,-0.089,-1.230
2,2.104,0.135
2,-0.060,-0.407
2,0.722,0.132
2,1.466,-0.369
2,-0.237,0.224
2,2.134,-0.874
2,0.759,-0.667
2,-0.292,-0.670
2,-0.427,-0.072
2,0.595,0.284
2,1.052,0.408
2,-0.217,0.403
2,1.053,-1.166
2,1.895,2.036
2,1.428,-0.728
2,-0.177,-1.975
2,0.390,-2.646
2,1.532,0.805
3,2.436,1.271
3,-0.026,0.226
3,0.620,-1.285
3,0.534,0.117
3,0.361,-0.029
3,0.537,-1.132
3,0.671,0.279
3,-1.113,-1.200
3,-1.125,-3.534
3,0.074,-0.046
3,0.219,-1.196
3,-0.059,-0.183
3,-1.825,-0.186
3,0.204,0.282
3,0.233,-0.777
3,-0.392,-1.642
3,-0.707,-0.325
3,-1.179,-0.775
3,-0.037,-1.014
3,-0.246,0.010
3,-0.479,-1.545
3,1.162,0.194
3,-0.358,-0.404
3,-0.688,-0.574
3,1.306,0.583
3,1.466,0.235
3,0.927,1.159
3,1.035,1.366
3,0.161,-1.577
3,-1.093,-2.525
3,-0.084,-0.119
3,-0.023,-0.721
3,0.986,0.284
3,0.909,0.291
3,-0.002,-0.630
3,-0.026,0.733
3,2.347,-0.272
3,0.047,0.466
3,0.762,0.734
3,0.340,0.304
3,1.585,1.349
3,-1.304,-1.319
3,1.959,-0.743
3,0.318,0.050
3,0.584,-0.550
3,1.846,0.138
3,-0.453,-2.105
3,1.617,1.012
3,-0.256,-0.330
3,-1.646,-2.078
4,-0.789,3.066
4,-2.466,4.426
4,-2.746,3.007
4,-2.496,1.574
4,-4.006,3.584
4,-2.702,2.599
4,-2.308,2.247
4,-3.473,2.721
4,-2.918,1.467
4,-3.328,3.521
4,-2.835,3.187
4,-2.383,2.935
4,-1.580,3.409
4,-3.831,2.882
4,-2.098,2.345
4,-3.046,1.428
4,-2.158,2.198
4,-3.423,0.064
4,-3.590,1.785
4,-2.439,2.872
4,-1.948,3.197
4,-4.534,1.236
4,-3.158,1.277
4,-3.132,3.330
4,-1.935,3.187
4,-3.417,1.855
4,-5.139,2.423
4,-2.323,3.446
4,-3.159,2.068
4,-3.043,3.201
